Timestamp,Enter your unique user identifier:,Enter lesson topic,Enter method type,Enter lesson length in ms,I was engaged in the lesson.,What did you like about the lesson?,What would improve the lesson?,Did you take notes?,"If you did take notes, then how did you take notes?","Did you go through the lesson sequentially, from start to finish?","If you didn't go through the lesson sequentially, what did you skip and how much did you skip?"
9/27/2013 9:54:30,4120,output,zyante,1132235,Agree,I liked how it had examples to practice what I just learned about coding to make more sense of it.,Nothing.,No,,Yes,
9/27/2013 9:55:35,4134,output,zyante,1353017,Slightly agree,They have examples,,No,,Yes,
9/27/2013 9:58:21,4121,output,textbook,407518,Agree,Learned about simple coding.,"Some questions were repeated, so it was possible for people to look for some answers in the lesson.",No,,Yes,n/a
9/27/2013 10:03:27,3125,output,zyante,743757,Strongly agree,It teaches you step by step and it was very easy to understand.,,No,,Yes,I didn't skip anything because I was so engaged.
9/27/2013 10:04:45,3301,output,textbook,518346,Agree,,,No,,No,I hit continue before completing the lesson and was not able to go back to finish it.
9/27/2013 10:07:49,4025,output,zyante,357940,Agree,The simulations helped show step by step how the computer computes data.  The exercises helped reinforce the lessons.,More examples of sample code.,No,,Yes,
9/27/2013 10:10:02,2401,output,textbook,207817,Slightly agree,the lesson was simple enough that i understood most of the material.,a video or an outline of the material that was covered on the quizes.,No,n/a,Yes,n/a
9/27/2013 10:12:29,2125,output,zyante,1359933,Strongly agree,the examples were very straight forward and helpful,more examples and quiz score,No,,Yes,
9/27/2013 10:15:08,3029,output,textbook,478932,Agree,"It was concise and informative, but it was hard to read",A tool to increase native font size or instructions on magnifying the font. Ability to highlight material,No,"By hand, on paper",Yes,N/a
9/27/2013 10:18:15,2321,output,zyante,1208664,Agree,I like the consistency of exercises following each sub section.,"I think it would be awesome if I could highlight texts I want to stand out (i.e. key words, definitions, important details).",No,,Yes,
9/27/2013 10:21:49,2116,output,zyante,355805,Slightly agree,Simple explanation ,more examples,No,,Yes,I skipped some parts because I already had some experience coding
9/27/2013 10:23:21,2106,output,zyante,1402300,Agree,I enjoyed learning the material. The video was very helpful seeing the changes each line caused.,I think more videos could improve the lesson.,No,n/a,Yes,n/a
9/27/2013 10:25:34,4127,output,textbook,132425,Slightly agree,Interactivity,n/A,No,n/a,Yes,n/a
9/27/2013 10:25:33,4009,output,zyante,720334,Slightly agree,The programs would compile as I typed so I could see direct feedback.,What does cout stand for?,No,,Yes,
9/27/2013 10:25:40,3303,output,zyante,561266,Strongly agree,It was interactive and had hands on parts to it.,Make the formatting a bit neater and seperate the lesson into pages.,Yes,By typing in a text editor,Yes,I skimmed through the lesson and did the exercises.
9/27/2013 10:27:21,3007,output,textbook,370533,Agree,"That I got to program after a long hiatus, and it was fun relearning some of the old codes I've done in the past. ","Probably emphasizing to the students that they would be unable to go back to the lesson once they got back to the quiz portion, since I wasn't completely alert when I was reading the lesson. Being unable to refer back to the lesson session semi-hinder my ability to learn the code completely, as I had to guess. ",No,,Yes,
9/27/2013 10:28:19,3107,output,textbook,513252,Agree,the explanations and examples,being told more directly what to do in the ide,No,,Yes,
9/27/2013 10:28:37,3001,output,zyante,733897,Agree,I like the animations and mini-quizzes/practice exercises provided.,I don't know.,No,n/a,Yes,n/a
9/27/2013 10:31:28,4010,output,textbook,398535,Slightly agree,The lesson had plenty of information and was fairly organized.,The lesson had some difficult vocabulary and explaining them would help those with less programming experience. The instructions were also unclear and could be explained better.,No,n/a,Yes,n/a
9/27/2013 10:31:34,4004,output,textbook,548224,Slightly agree,it told you what each component was,more interactive during the lesson,No,,Yes,
9/27/2013 10:33:06,3005,output,textbook,803214,Agree,It gave me a good intro on beginning to learn how to use the C++ Programming Language.,A couple more examples.,No,,Yes,
9/27/2013 10:34:08,4026,output,textbook,434085,Slightly agree,It was informative and full of detailed explanations. ,More examples to help us understand.,No,,Yes,
9/27/2013 10:34:47,4122,output,textbook,547988,Agree,The side-by-side layout of the lecture and a place to practice writing code is rather helpful. It helped with checking for mistakes as well as for accuracy when following each step of the lesson.,n/a,No,,Yes,"While I did run through the lesson sequentially, I did go back and read certain parts once I finished as a review."
9/27/2013 10:36:02,4006,output,textbook,625285,Agree,"I found the material interesting, and enjoyed the interaction. ","If it were organized differently; I sometimes found it difficult to find what the text was referring to, or what to complete next. ",No,,Yes,N/A
9/27/2013 10:36:39,3022,output,zyante,1309266,Agree,It showed us the correct answer right after we submitted our answers.,More examples.,No,,Yes,
9/27/2013 10:36:50,3032,output,textbook,227963,Slightly agree,It taught me some thing new. ,It was just fine. ,No,n/a ,No,I read back and forth between information to see which was important. 
9/27/2013 10:37:04,3028,output,zyante,942686,Strongly agree,I liked how the lesson covered the basics of programming.  It got me involved and interested with the concepts and made me look forward to this course. ,I see no way to improve it.  It appears optimum to me. ,No,,Yes,n/a
9/27/2013 10:37:40,4002,output,zyante,1445781,Agree,"I liked how it was interactive. It helped me understand the syntax of the code more easily because each time I would make a mistake the system would inform me of what went wrong in the syntax. Also it provided me with the final answer at the end, so I could verify if I did the problem right. ",Maybe additional practice set questions. ,No,,Yes,
9/27/2013 10:40:04,4019,output,zyante,909290,Strongly agree,Everything!,I don't know,No,By typing in a text editor,Yes,I did go sequentially
9/27/2013 10:40:11,4130,output,zyante,953681,Agree,The video and animations were very interactive and helpful.,I think organizing the lessons in a simpler manner would be more helpful.,Yes,"By hand, on paper",Yes,I went through the lesson sequentially.
9/27/2013 10:40:16,4116,output,zyante,839770,Agree, Use of the digital medium to convey the subject content. The lesson was engaging and I was able to actually learn something which I hadn't previously known. Also integrated problems kept me the student constantly engaged.,Improvements could probably be more problems within the lesson as well as the use of more animations.,No,,Yes,N/A
9/27/2013 10:40:47,4028,output,zyante,949729,Strongly agree,The trial and error features that was integrated into the lesson.,If the program would let you know what exactly was wrong.  ,No,,Yes,I went through the lesson sequentially.
9/27/2013 10:40:59,4138,output,zyante,1092114,Strongly agree,I like how you can practice right away. ,Nothing.,Yes,"By hand, on paper",Yes,
9/27/2013 10:41:40,4322,output,textbook,1028509,Strongly agree,It presented the basics of coding text in a plain and understandable format.,n/a,No,,Yes,n/a
9/27/2013 10:41:46,4025,output,textbook,966534,Agree,n/a,n/a,No,,Yes,n/a
9/27/2013 10:41:52,4107,output,textbook,992744,Slightly agree,I liked being able to actively stay involved by testing the examples in the code box.,A teacher or human able to help explain things that i had questions about.,No,Digitally onto a tablet.,Yes,N/A
9/27/2013 10:42:22,4137,output,textbook,319639,Agree,The basics of writing a statement using C++ code.,More examples.,No,,Yes,
9/27/2013 10:42:35,4024,output,zyante,1370376,Agree,it shows solutions if I get it wrong.,nothing else comes to mind,No,"By hand, on paper",Yes,I didn't skip anything.
9/27/2013 10:43:28,3011,output,zyante,492744,Agree,that they had a very responsive activity to do at the end of each activity. ,Make is easier for Non- programmers,No,,No,Skipped the intro of the section thought it was too much
9/27/2013 10:44:07,3212,output,zyante,1279714,Agree,The sections where the computer lets you test out what you just learn by allowing you to type in your own code and see the results right away,Giving more variations of examples and possible questions to further test the knowledge of the student.,No,,Yes,
9/27/2013 10:44:27,2401,output,zyante,447666,Agree,"I enjoyed the interactivity of the lesson, rather than just having it be 100% reading.","More usage of the interactive elements, and more demonstrations involving writing the code itself.",No,n/a,Yes,n/a
9/27/2013 10:44:31,2123,output,zyante,1166945,Slightly agree,The exercises.,That the exercises are better at detecting my errors.,No,,Yes,"I, skimming the text, went straight to the exercises. "
9/27/2013 10:44:40,4129,output,textbook,364863,Slightly agree,first time actually trying to code. Looking foward to cs,Getting help with the programming. ,No,"By hand, on paper",Yes,Most of the multiple choice 
9/27/2013 10:44:47,3208,output,textbook,229159,Agree,You got to be interactive when you read the text.,Make a little more to interact with while you read the text.,No,,Yes,I did not skip anything.
9/27/2013 10:45:03,4302,output,zyante,945204,Strongly agree,The fact that it was interactive made it easier to learn the lesson. ,Nothing. ,No,,Yes,
9/27/2013 10:45:16,4316,output,zyante,807575,Agree,The helpful hints that were provided when I was stuck on a question.,Nothing really.,No,,Yes,
9/27/2013 10:46:11,3901,output,zyante,768748,Agree,That I got to write code,Perhaps allowing the user to be creative in and of themselves (using the same concepts). So maybe letting them print their own text but requiring the use of an endl or multiple cout's or a newline character.,No,,Yes,N/A
9/27/2013 10:47:08,4023,output,zyante,1597520,Strongly agree,"The examples were helpful and useful in going back to help with solving the exercises. Also, the exercises helped to keep me engaged with what was going on throughout the entire lesson.",Possibly more exercises and maybe examples of mistakes that usually occur so people won't make the same mistake while they are coding. That way they can be more aware of the mistakes not to make.,No,,Yes,"I went through the lesson sequentially, from start to finish."
9/27/2013 10:47:47,3039,output,zyante,1332321,Agree,I like how the lessons were interactive. I especially love the animations because they helped me learn what coding was all about.,I think explaining the functions a little bit better would improve the experience of this lesson.,No,,Yes,
9/27/2013 10:47:54,4118,output,textbook,456201,Agree,It was interesting to learn some basic coding.,The lesson was a bit confusing. It was hard for me to follow because of the format and wording.,Yes,By typing in a text editor,Yes,n/a
9/27/2013 10:48:53,4015,output,zyante,1014247,Agree,It was simple to follow and engaging. ,Some more details ,No,,Yes,
9/27/2013 10:49:06,4339,output,zyante,1346844,Agree,The animated examples,More animated examples,No,"By hand, on paper",Yes,
9/27/2013 10:49:56,2817,output,textbook,426779,Agree,I like that I can directly type out the code and see what can happen if I enter what code. ,"Maybe if there are multiple blackboard that can let me compare different outcome of the code, I can remember the code better and learn better. ",Yes,"By hand, on paper",No,I skipped the last part of the text because I thought they were not as important. 
9/27/2013 10:50:16,3319,output,zyante,2229715,Strongly agree,It gave me a good feel about computer science ,I have a class in 10 min. So far I don't see a major problem ,Yes,By typing in a text editor,Yes,"I didn't skip at all, which is why i took an hour and my next class is starting soon..."
9/27/2013 10:50:28,3321,output,textbook,856730,Strongly agree,There were examples right after certain information that cleared up what words could not. ,"If you could use bold words to identify particular terminology along side italics, that would be helpful as it would stand out more. Perhaps also providing us with some sample problems to try and use the information we just got would help in remembering as we actively used what we read. ",No,,Yes,
9/27/2013 10:51:56,3026,output,textbook,749737,Slightly agree,I liked how I was able to use the coding on the right side to test my work. ,"If there was a ""go back"" function to read the lesson again. I accidentally continued when I wanted to just play my code.",No,,Yes,
9/27/2013 10:52:53,3913,output,zyante,1299495,Strongly agree,The automatic checking system.,Nothing.,No,,Yes,
9/27/2013 10:53:01,4011,output,zyante,900688,Slightly agree,the interactive parts of it and that if you got something wrong it would give u hints to get the right answer,explain a little more ,No,,Yes,
9/27/2013 10:53:22,4005,output,textbook,794616,Agree,The lesson was informative and interactive.,I thought the lesson was as simple as it could be.,No,,Yes,n/a
9/27/2013 10:53:22,2105,output,zyante,1829302,Agree,"It was pretty easy. For beginners though, or those in grade school, it may seem a little confusing because the lesson is very direct and jumps into the lesson.",Make the descriptions easier to understand.,No,,Yes,
9/27/2013 10:55:33,4007,output,zyante,1103776,Agree,it helped me learn more about programming and coding,everything is good and easy to learn,No,"By hand, on paper",No,i skipped the video
9/27/2013 10:58:33,3014,output,textbook,2013042,Slightly agree,I liked how you were able to type up the program and immediately receive output,I feel like the lesson lacked a lot of much needed explanation of just about everything. Very vague details.,Yes,"By hand, on paper",Yes,
9/27/2013 11:00:22,3010,output,zyante,1445911,Slightly agree,The interactive problems right after the texts and visuals so that it helps check up if we understood the reading or not.,"It seems too plain and dry. It shouldn't be colorful but need some sort of colors. It just seems like a survey whereas in a real book, there are types of colors that helps reading much more bearable rather just reading a block of texts. So basically just aesthetic appeals towards students.",No,"By hand, on paper",Yes,
9/27/2013 11:00:34,4320,output,textbook,509270,Agree,it had a place to practice writing code on the right side of the page., I would say to highlight or make the important key words in bold instead of quotations. ,No,,No,I skipped a bit when it got wordy. I went to the important concepts and went over it again.
9/27/2013 11:06:03,3002,output,zyante,716656,Agree,I liked that the exercises allows me to immediately check if I correctly understood the lesson's content.,The lesson might be improved if there were links to the other sections of the lesson that a part refers back to.,Yes,"By hand, on paper",No,I skipped a few of the exercises and the video.
9/27/2013 11:07:20,4035,output,textbook,274084,Slightly agree,Simple side-by-side text and practice.,What types of errors that can pop up in the absence of some things.,No,,No,I accidentally skipped a lot.
9/27/2013 11:12:15,3120,output,zyante,710877,Agree,it was helpful because it showed me videos of examples. as well that  it went step by step problem solving with a video. Like i am a visual learner it made it easier to follow thru.,explanation during the videos not only visual information to explain what is happening.,No,,Yes,
9/27/2013 11:13:18,3311,output,textbook,3111230,Agree,The lesson helped me to understand a bit more about the basics of programming and some tips to remember by when making a program.,I would suggest to make the webpage less cumbersome in going through the lesson with the additional horizontal scroll bar.,Yes,By typing in a text editor,Yes,n/a
9/27/2013 11:18:14,3119,output,textbook,927608,Strongly agree,Learning in general.,If you can go back to the lesson tab any time.,Yes,By typing in a text editor,Yes,n/a
9/27/2013 11:21:56,3001,output,textbook,142246,Agree,It was fun!,n/a,No,"By hand, on paper",Yes,n/a
9/27/2013 11:26:29,3009,output,textbook,122309,Slightly disagree,The lesson was not difficult and was easy to understand.,"Not much, it was very informative. Maybe giving me more examples.",No,,Yes,n/a
9/27/2013 11:29:34,3122,output,textbook,67101,Agree,You were able to participate more than just reading the text.,Possibly being able to see what common wrong answers are.,No,did not take notes,No,I skipped a good portion of the lesson because I accidentally submitted the lesson before i was able to finish through with it. I did got hrough the beginning portion with sample programming.
9/27/2013 11:31:19,4109,output,zyante,657220,Slightly agree,The diffiult,Easier quesions,No,By typing in a text editor,No,
9/27/2013 11:33:15,3137,output,textbook,610916,Agree,,,,,Yes,
9/27/2013 11:36:10,4021,output,textbook,342521,Disagree,I liked that I was able to practice right away while still having the text to go back to.,Maybe if there was noise. So if i could have the option of having the computer read the text to me. When I got correct answer if I had the computer actually say something encouraging or some praising statement. This is just an idea I think would help me become more engaged.,No,,Yes,I did go through the lesson sequentially.
9/27/2013 11:36:45,3129,output,zyante,609049,Strongly agree,I learned how to type strings in C++.,Nothing.,Yes,"By hand, on paper",Yes,.
9/27/2013 11:37:23,3017,output,textbook,634385,Agree,Being able to interact with the examples and being able to learn from it.,n/a,No,,Yes,n/a
9/27/2013 11:40:30,3308,output,textbook,177185,Slightly disagree,it was simple to follow,more examples,No,"By hand, on paper",Yes,n/a
9/27/2013 11:40:38,4032,output,zyante,1311654,Strongly agree,It gave a good intro to what to expect in programming later. ,Make the text slightly clearer. ,Yes,"By hand, on paper",Yes,I missed the video by accident.
9/27/2013 11:44:56,4318,output,zyante,1352986,Agree,It had nice examples that you could practice coding on,"No idea, it seems pretty solid to me.",No,Didn't take notes,Yes,I went through the entire thing
9/27/2013 11:45:01,3315,output,zyante,1117778,Strongly agree,i liked how it was interactive and had video explanations. i also liked that i could learn on my own pace at my own time by myself instead of in a crowded classroom.,the lesson was pretty good,No,,Yes,n/a
9/27/2013 11:46:10,3037,output,zyante,1245577,Agree,How it showed examples at each point of the lesson.,"Maybe they could put better definitions of things like string literal, etc.",No,Did not take notes,Yes,N/A
9/27/2013 11:50:28,2120,output,zyante,928731,Slightly agree,It is very interactive. I like the feedback portion. It is very helpful.,More feedback,No,didnt take notes,No,I skimmed the lesson and went back to the portion when I was asked questions.
9/27/2013 12:05:52,2109,output,textbook,1258943,Agree,"This lesson was my second experience of using/learning about code, and I enjoyed playing around with the sandbox.",It would have been great to have a sandbox coding sampler (as shown during the lesson) during the quiz so that we could test out the strings we had in mind.,Yes,"By hand, on paper",Yes,n/a
9/27/2013 12:09:57,3308,output,textbook,364765,Agree,It gave me the ability to try everything out right away.,Just more feed back on the small quizzes it would be nice to know where I messed up so I could fix it.,No,,No,I would start skimming through the reading after the input exercise.
9/27/2013 12:20:40,4014,output,textbook,97603,Strongly agree,I like that I was able to practice what I was learning as I was learning it. ,"I would make the lesson more interactive, maybe by including more examples or exercises I could do on my own. ",No,,Yes,
9/27/2013 12:21:21,2139,output,textbook,601163,Agree,"I liked that i didn't know anything coming into it, and by the end I learned something new.",The lesson was simple to follow and I don't have any ways to improve it. ,No,,Yes,
9/27/2013 12:32:56,4038,output,textbook,100641,Slightly disagree,n/a,n/a,No,,Yes,n/a
9/27/2013 12:39:56,3031,output,textbook,804810,Agree,"I think the lesson is pretty good. It gives example, statement, and practice.",I think if there are some little video in the lesson. It would much better. because I prefer watching to learn.,Yes,"By hand, on paper",No,I skipped the long part of the task.
9/27/2013 12:49:55,2130,output,zyante,1835382,Agree,I liked the interactive exercises included in the lesson.,The lesson might be improved with more exercises and a few videos.,No,,No,I skipped the video entirely because it was not playing.
9/27/2013 12:50:05,2131,output,zyante,773729,Strongly agree,The ability for the user to have an interactive environment where one could change code and see the immediate results of the changes.,Maybe more interactive examples or samples. Sandbox?,No,,Yes,
9/27/2013 12:54:40,2129,output,zyante,1516009,Strongly agree,I liked how much detail was available to me in this lesson and the question readily tell you that the answer is wrong.,This lesson could not be improved in my opinion.,No,"By hand, on paper",Yes,i skipped the video due to lack of time available.
9/27/2013 13:01:52,3106,output,zyante,2470859,Agree,The immediate feedback in the practices was great.,Perhaps have more examples.,Yes,"By hand, on paper",Yes,
9/27/2013 13:15:34,3109,output,textbook,2613788,Agree,The lesson was about how to submit statements on C++.,It would improve the lesson to have arrows.,No,"By hand, on paper",Yes,
9/27/2013 13:15:57,4139,output,zyante,2179657,Agree,"That it's interactive, and the examples helped me better understand coding. ","Nothing really, it's fairly simple and very helpful.",No,N/A,Yes,N/A
9/27/2013 13:20:41,2313,output,zyante,274622,Agree,Taught me some information I did not know.,Nothing,Yes,"By hand, on paper",Yes,I skipped the basic cout instructions.
9/27/2013 13:21:44,3127,output,textbook,266311,Slightly agree,I could experiment with the examples because I was given a compiler to toy with. ,Highlight/bold important words or concepts. ,No,,Yes,
9/27/2013 13:22:12,3131,output,textbook,155060,Agree,I accidentally skipped the lesson.,I accidentally skipped the lesson.,No,,No,I accidentally skipped the whole thing.
9/27/2013 13:30:01,4037,output,textbook,505223,Strongly agree,I could practice what the book was explaining while reading about it. ,More than one example before the quiz,No,no notes,Yes,I went sequentially
9/27/2013 13:33:01,3111,output,textbook,225890,Agree,I was interactive and very easy to follow.,Audio would improve the lesson.,No,,No,I skipped the intro paragraph from the excerpt from the textbook.
9/27/2013 13:34:34,2132,output,textbook,312767,Slightly agree,I like that this lesson provides a place to try out the code.,I would like to see if the code i wrote was correct. (I may have just pressed the wrong button),No,did not take notes,No,I skipped over some of the information that was familiar to me.
9/27/2013 13:39:21,3332,output,zyante,981719,Agree,The animation that explained every step.,More animations that break down every step.,No,,Yes,n/a
9/27/2013 13:39:23,2111,output,textbook,475592,Strongly agree,It was easy to follow.,It's great already.,No,,Yes,I didn't skip anything.
9/27/2013 13:41:11,2108,output,zyante,858927,Agree,I actually learned a bit about the material and was given practice after to enforce whether or not i understood what was going on or not.,"I wouldn't know since I don't know enough about the material to realize a way to improve it, but as it is seems fine to me.",Yes,"By hand, on paper",Yes,
9/27/2013 13:45:17,2103,output,zyante,859890,Strongly agree,"I liked how it explained what the strings and how to start it off because I have done web designing and did not know the ""iso..."" line. ",I think there should be more instructions on whether the numbers go inside the quotes or not.,No,,Yes,
9/27/2013 13:46:56,4301,output,textbook,263011,Agree,The tools available for coding were user friendly and easy to use.,Being more direct in regard to stating what part of the coding is in charge for each action.,No,N/A,Yes,N/A
9/27/2013 13:46:53,3003,output,zyante,1377846,Strongly agree,Learning new languages is always fun!,Very few things.,No,,No,I skipped the entire video.
9/27/2013 13:47:58,4238,output,zyante,899187,Strongly agree,really interactive. i learned a lot,no ideas,No,,Yes,
9/27/2013 13:50:20,2119,output,textbook,1004090,Slightly agree,It took me a while to figure out that this in fact was a lesson. I learned that I actually had to read all the text that was given to me first before trying to code.,N/A,No,,No,I skipped the the second half of the reading for it when I realized that I could just copy the code.
9/27/2013 13:50:43,4239,output,zyante,913249,Slightly agree,It helped me refresh some of my C++ that I learned from over 5 years ago. It was more of a lesson and helped me understand C++ a little more.,The lesson can be better improved by adding other coding like tab and making even putting examples of moving objects.,No,,No,I skipped through the video when I was about half way done watching it.
9/27/2013 13:51:22,2128,output,zyante,1504131,Strongly agree,I can learn by practicing and auto-check the answer right away. It is also really easy to understand the activities are fun and helpful.,N/A,Yes,"By hand, on paper",Yes,N/A
9/27/2013 13:54:55,4115,output,zyante,1005705,Strongly agree,I like how it was engaging and had you actually do some hands-on coding.,This lesson was great the way it is.,No,,No,I didn't watch the video
9/27/2013 13:57:34,4008,output,zyante,1715909,Strongly agree,I like being able to immediately see the changes in the output when I made changes in the code. Being interactive with the lesson is what I liked the best. I also liked how there were hints on common errors to help figure out codes. The lesson was simple to understand since I have no programming experience whatsoever. Having different colors that showed the different parts was also very helpful. I also like having YouTube videos since I can see in real time how another person would type in the code and I can go back and replay it whenever I want.,"I think the lesson was really good as it was. As of now, no real issues I find that could be improved. ",No,,Yes,
9/27/2013 14:02:39,2107,output,zyante,363489,Strongly disagree,It seemed very interesting filled with great material.,"Don't throw too much all in at once. I mean you people are pros at coding so for you it seems like no big deal, but to the average student who knows nothing about this they will feel overwhelmed, just like I did. I think if you are going to give a survey where people need to learn on the spot it needs to be long enough to engage them but short enough to keep them engaged. I was engaged for like 5 minutes but then once I saw how long it was and started reading all the material my mind started to wander and get lost and I found myself just putting random garbage into the quiz part. And honestly the display of the text was pretty blurry. But overall I think it was something new and I am definitely going to learn to program in C++. Especially since I kind of need to for my class but it seems EXTREMELY fun. I just need to take more time learning it. ",Yes,pictures on phone,Yes,I skipped some of the reading. I just want the gist of things
9/27/2013 14:08:19,3103,output,textbook,1332094,Strongly agree,I loved the hands-on experience!,"Nothing! Everything was completely easy to understand! Since I am a beginner in coding, this lesson made it easy. ",No,,Yes,
